categories_id,category_1,category_2,category_3
256,Enfant,Couches écologiques,Culottes de protection 8-20 kg
259,Enfant,Hygiène Change et Soins,Accessoires Puériculture
260,Enfant,Hygiène Change et Soins,"Baignoires, jouets de bain"
263,Enfant,Jouets écologiques,Casques & accessoires Vélos
264,Enfant,Jouets écologiques,Doudous & Peluches
265,Enfant,Jouets écologiques,Draisiennes
266,Enfant,Jouets écologiques,Déguisement et Maquillage
267,Enfant,Jouets écologiques,Eveil & Découverte
268,Enfant,Jouets écologiques,"Fermes, animaux & figurines"
269,Enfant,Jouets écologiques,"Garages, circuits & véhicules"
271,Enfant,Jouets écologiques,Jeux Educatifs
272,Enfant,Jouets écologiques,Jeux Plein Air
273,Enfant,Jouets écologiques,Jeux d'imitation
274,Enfant,Jouets écologiques,Jeux de construction
276,Enfant,Jouets écologiques,Jeux de société
277,Enfant,Jouets écologiques,Jouets 1er âge
278,Enfant,Jouets écologiques,Jouets musicaux
280,Enfant,Jouets écologiques,Livres enfants et conteuses
281,Enfant,Jouets écologiques,Poupées & Maisons de Poupées
282,Enfant,Jouets écologiques,Puzzles
283,Enfant,Jouets écologiques,Tableaux & Magnets
284,Enfant,Jouets écologiques,Vélos Enfant & Tricycles
287,Enfant,Linge de lit Bébé & Enfant,Drap housse bébé & enfant
291,Enfant,Loisirs Créatifs,Couture
294,Enfant,Loisirs Créatifs,Kit d'Empreinte
296,Enfant,Loisirs Créatifs,Peinture & Coloriage
297,Enfant,Loisirs Créatifs,Perles et Perles à repasser
298,Enfant,Loisirs Créatifs,Pâte à Modeler
302,Enfant,Matelas Bébé & Enfant,Plans inclinés et câles bébé
304,Enfant,Repas Bébé,Conservation du repas
305,Enfant,Repas Bébé,Couverts et Vaisselle Bébé
309,Enfant,Transport enfant,Echarpe & Porte-Bébé
314,Enfant,Veilleuses & réveils,Veilleuse
325,Enfant,Vêtements & Accessoires,Protections enfants anti UV
215,Enfant,Allaitement,Accessoires d'allaitement
216,Enfant,Allaitement,Coussins d'allaitement
219,Enfant,Biberons & Accessoires,Accessoires Biberons
222,Enfant,Biberons & Accessoires,Biberons en Plastique
223,Enfant,Biberons & Accessoires,Biberons en Verre
224,Enfant,Biberons & Accessoires,"Chauffe-biberons, stérilisateurs"
225,Enfant,Biberons & Accessoires,Sucettes et attaches sucettes
226,Enfant,Biberons & Accessoires,Tasses bébé
228,Enfant,Biberons & Accessoires,Tétines Biberons
232,Enfant,Chambre & mobilier enfant,Chaises hautes et réhausseurs
238,Enfant,Chambre & mobilier enfant,Parcs & Tapis de Jeux
244,Enfant,Chaussons Bébés et Enfants,Chaussons bébés Garçons
245,Enfant,Couches écologiques,Accessoires pour le change
246,Enfant,Couches écologiques,Couches de piscine jetables
247,Enfant,Couches écologiques,Couches jetables 11-30 kg
248,Enfant,Couches écologiques,Couches jetables 2-6 kg
250,Enfant,Couches écologiques,Couches jetables 7-18 kg
251,Enfant,Couches écologiques,Couches lavables 2-9 kg
252,Enfant,Couches écologiques,Couches lavables 8-20 kg
253,Enfant,Couches écologiques,Culottes d'apprentissage 11-18kg
254,Enfant,Couches écologiques,Culottes d'apprentissage 13-25kg
768,Maison,Literie,Couette enfant
770,Maison,Literie,"Matelas bébé, enfant"
771,Maison,Literie,"Oreiller, traversin"
773,Maison,Literie,Surmatelas
775,Maison,Literie et Chambre,Linge de lit
781,Maison,Livres,Livres Cuisine
782,Maison,Livres,Livres Entretien
783,Maison,Livres,Livres Vie saine
789,Maison,Mobilier d'intérieur,Meubles de rangement
791,Maison,Mobilier d'intérieur,Mobilier chambre enfant
792,Maison,Mobilier d'intérieur,Mobilier de bureau
795,Maison,Mode,Bagagerie
796,Maison,Mode,Bijoux
798,Maison,Mode,Chaussures Femme
801,Maison,Mode,Mode Bébé 0-36 mois
804,Maison,Mode,Vêtements Femme
805,Maison,Mode,Vêtements Homme
806,Maison,Mode,Vêtements de grossesse
807,Maison,"Mode, chaussures et vêtements",Bagagerie
812,Maison,"Mode, chaussures et vêtements",Maternité
815,Maison,"Mode, chaussures et vêtements",Vêtements Femme
816,Maison,"Mode, chaussures et vêtements",Vêtements Homme
826,Maison,Salle de bains,Economiseurs douche
830,Maison,Salle de bains,Rangement salle de bains
837,Maison,Traitement de l'air,Tests et analyses de l'air
842,Maison,Ustensiles de cuisine,Autour du vin et de l'apéritif
843,Maison,Ustensiles de cuisine,Autres accessoires de cuisine
845,Maison,Ustensiles de cuisine,Balances et verres doseurs
846,Maison,Ustensiles de cuisine,Couteaux de cuisine
848,Maison,Ustensiles de cuisine,"Cuillères, spatules, fouets"
850,Maison,Ustensiles de cuisine,Essoreuses et passoires
857,Maison,Ustensiles de cuisine,Planches à découper
859,Maison,Ustensiles de cuisine,Pâtisserie
860,Maison,Ustensiles de cuisine,"Râpes, Moulins, Mortiers"
861,Maison,Ustensiles de cuisine,"Râpes, moulins, mortiers"
864,Maison,Ustensiles de cuisine,Ustensiles de découpe
643,Maison,Art de la table,Accessoires thé et café
644,Maison,Art de la table,Assiette
645,Maison,Art de la table,"Bol, tasse, mug"
647,Maison,Art de la table,Couverts
650,Maison,Art de la table,Théière et services à thé
660,Maison,Carafes filtrantes et Fontaines,Carafes filtrantes
665,Maison,Carafes filtrantes et Fontaines,Filtres à eau pour robinet
671,Maison,Conservation,Bocaux et accessoires
