products_id,ps_cat,pd_cat
73913,2.5,2.5
81130,3.0,3.0
87532,3.5,3.5
29022,4.0,4.0
108840,4.87,4.0
73630,4.25,4.25
11729,4.75,4.75
71863,5.0,5.0
108668,5.25,5.25
77879,5.5,5.5
92691,5.5,5.5
76882,6.25,6.25
3228,6.75,6.75
47092,7.49,7.5
9025,7.49,7.5
121887,8.0,8.0
73483,8.0,8.0
3625,8.0,8.0
71656,8.5,8.5
99717,9.0,9.0
72591,9.5,9.5
20338,13.5,13.5
112542,13.99,14.0
100488,14.51,14.5
91800,14.51,14.5
69713,16.0,16.0
13992,21.0,21.0
79181,21.0,21.0
108285,22.0,22.0
11476,30.0,30.0
24309,1.26,1.25
102696,1.75,1.75
84116,1.76,1.75
95397,1.76,1.75
110039,85.75,85.75
45244,9.26,9.25
110958,13.22,9.25
74381,12.25,12.25
105147,15.75,15.75
109859,34.99,35.0
88956,33.25,33.25
24833,63.25,63.25
48853,788.5,788.5
119879,19.74,19.75
78120,22.75,22.75
113533,25.75,25.75
104488,2.13,2.13
80192,3.38,3.38
28993,3.38,3.38
71191,3.62,3.63
47512,3.62,3.63
101528,3.88,3.88
90923,4.01,4.01
94767,4.26,4.26
27151,5.01,5.01
74396,5.26,5.26
120897,5.26,5.26
44979,5.76,5.76
84789,5.76,5.76
41478,7.25,7.26
1647,7.51,7.51
9002,10.02,10.02
57475,12.52,12.52
18867,13.02,13.02
95818,14.03,14.02
24822,18.04,18.04
19703,209.82,209.82
81875,17.29,17.29
1452,117.17,117.16
104912,69.91,69.91
109003,69.91,69.91
15333,10.26,10.27
43947,16.54,16.54
73163,126.41,126.41
63626,21.79,21.79
42319,47.58,47.58
29600,2.26,2.26
91042,3.9,3.51
93464,3.76,3.76
97987,4.28,4.27
46643,4.77,4.77
72087,6.02,6.02
79358,6.52,6.52
68326,8.04,8.04
187326,9.54,9.54
78657,15.54,15.54
94609,17.08,17.08
49311,27.08,27.08
83345,1.88,1.88
109617,12.79,12.79
42949,20.58,20.58
102643,31.58,31.58
118388,20.83,20.83
72440,21.84,21.83
76390,59.65,59.66
76398,59.65,59.66
70377,2.14,2.14
93300,3.39,3.39
111565,3.64,3.64
122076,3.64,3.64
81577,3.9,3.89
75885,4.29,4.28
2057,4.53,4.53
76665,4.53,4.53
42146,4.78,4.78
80218,4.79,4.78
108964,7.03,7.03
85890,9.06,9.06
47071,13.06,13.06
87440,1.46,1.32
118306,1.58,1.57
79011,1.57,1.57
99859,1.57,1.57
46146,356.17,356.17
76978,16.37,16.37
78695,17.38,17.37
81061,21.37,21.37
41303,236.71,236.71
6249,9.81,9.81
79939,10.31,10.31
98539,11.31,11.31
16367,15.67,13.31
42327,15.81,15.81
14289,26.62,26.62
73210,283.16,283.17
78616,39.49,39.49
70868,2.27,2.27
88711,2.52,2.52
