model_type,product_name,product_id,model_id,model_name,color,color_name,size,new,forecast_stock,stock,price
Accessories,Tapis de yoga - Alexandra Rosenfeld - Cork Cork - Size no-size,,ACC006AR01-M02,Tapis de yoga - Alexandra Rosenfeld - Cork,CO,Cork,,0,20,20,15
Accessories,Tapis de yoga recyclé - F3 White - Size no-size,,ACC003-M01-WH,Tapis de yoga recyclé - F3,WH,White,,0,37,37,8
Accessories,Gourde Alexandre Rosenfeld White - Size M,ACC007AR01-B05-L_WH_M,ACC007AR01-B05-L,Gourde Alexandre Rosenfeld,WH,White,M,0,21,13,12
Accessories,Tour de cou - L'Infini Moss - Size no-size,,SN001P01-JL01-U,Tour de cou - L'Infini,MO,Moss,,0,0,0,5
Accessories,Tour de cou - L'Infini Sand - Size no-size,,SN001P01-JL01-U,Tour de cou - L'Infini,SA,Sand,,0,26,6,5
Accessories,Tour de cou - L'Infini Black - Size no-size,,SN001P01-JL01-U,Tour de cou - L'Infini,BL,Black,,0,0,0,5
Accessories,Tour de cou - L'Infini Granite Grey - Size no-size,,SN001P01-JL01-U,Tour de cou - L'Infini,GR,Granite Grey,,0,0,0,5
Accessories,Gourde - Sunrise 500 ml Recycled plastic - Size S,ACC002-B02-PI-S_PI_S,ACC002-B02-PI-S,Gourde - Sunrise 500 ml,PI,Recycled plastic,S,0,0,0,6
Accessories,Gourde plastique recyclé - Protect 750 ml Black - Size L,ACC001-B01-BL-L_BL_L,ACC001-B01-BL-L,Gourde plastique recyclé - Protect 750 ml,BL,Black,L,0,0,0,6
Accessories,Gourde - Protect 750 ml Aluminium - Size L,ACC004-B03-POP-L_ALU_L,ACC004-B03-POP-L,Gourde - Protect 750 ml,ALU,Aluminium,L,0,48,36,10
Accessories,Gourde - Protect 600 ml Aluminium - Size M,ACC005-B04-SUN-S_ALU_M,ACC005-B04-SUN-S,Gourde - Protect 600 ml,ALU,Aluminium,M,0,26,26,10
Crop-top,Brassière Support Me Softly Black - Size XXL,BR001P1-JL02-W_BL_XXL,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XXL,0,41,17,16
Crop-top,Brassière Support Me Softly Black - Size XS,BR001P1-JL02-W_BL_XS,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XS,0,46,22,16
Crop-top,Brassière Support Me Softly Black - Size XL,BR001P1-JL02-W_BL_XL,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,XL,0,32,8,16
Crop-top,Brassière Support Me Softly Black - Size S,BR001P1-JL02-W_BL_S,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,S,0,104,104,16
Crop-top,Brassière Support Me Softly Black - Size M,BR001P1-JL02-W_BL_M,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,M,0,165,129,16
Crop-top,Brassière Support Me Softly Black - Size L,BR001P1-JL02-W_BL_L,BR001P1-JL02-W,Brassière Support Me Softly,BL,Black,L,0,69,69,16
Crop-top,Crop-top sport Smooth Operator Minty Fresh - Size XS,TSC001P3-FJ01-W_MI_XS,TSC001P3-FJ01-W,Crop-top sport Smooth Operator,MI,Minty Fresh,XS,0,0,0,16
Crop-top,Crop-top sport Smooth Operator Minty Fresh - Size XL,TSC001P3-FJ01-W_MI_XL,TSC001P3-FJ01-W,Crop-top sport Smooth Operator,MI,Minty Fresh,XL,0,0,0,16
Crop-top,Crop-top sport Smooth Operator Minty Fresh - Size S,TSC001P3-FJ01-W_MI_S,TSC001P3-FJ01-W,Crop-top sport Smooth Operator,MI,Minty Fresh,S,0,0,0,16
Crop-top,Crop-top sport Smooth Operator Minty Fresh - Size M,TSC001P3-FJ01-W_MI_M,TSC001P3-FJ01-W,Crop-top sport Smooth Operator,MI,Minty Fresh,M,0,0,0,16
Crop-top,Crop-top sport Smooth Operator Minty Fresh - Size L,TSC001P3-FJ01-W_MI_L,TSC001P3-FJ01-W,Crop-top sport Smooth Operator,MI,Minty Fresh,L,0,0,0,16
Top,Débardeur Get Comfy Quick Dry Grey - Size XS,TK001P3-TT01-W_GG_XS,TK001P3-TT01-W,Débardeur Get Comfy Quick Dry,GG,Grey,XS,0,35,5,16
Top,Débardeur Get Comfy Quick Dry Grey - Size XL,TK001P3-TT01-W_GG_XL,TK001P3-TT01-W,Débardeur Get Comfy Quick Dry,GG,Grey,XL,0,27,27,16
Top,Débardeur Get Comfy Quick Dry Grey - Size S,TK001P3-TT01-W_GG_S,TK001P3-TT01-W,Débardeur Get Comfy Quick Dry,GG,Grey,S,0,56,26,16
Top,Débardeur Get Comfy Quick Dry Grey - Size M,TK001P3-TT01-W_GG_M,TK001P3-TT01-W,Débardeur Get Comfy Quick Dry,GG,Grey,M,0,165,153,16
Top,Débardeur Get Comfy Quick Dry Grey - Size L,TK001P3-TT01-W_GG_L,TK001P3-TT01-W,Débardeur Get Comfy Quick Dry,GG,Grey,L,0,24,24,16
Top,Débardeur de sport Free Your Mind Grey - Size XS,TK002P3-TT01-W_GG_XS,TK002P3-TT01-W,Débardeur de sport Free Your Mind,GG,Grey,XS,0,16,16,16
Top,Débardeur de sport Free Your Mind Grey - Size XL,TK002P3-TT01-W_GG_XL,TK002P3-TT01-W,Débardeur de sport Free Your Mind,GG,Grey,XL,0,3,3,16
Top,Débardeur de sport Free Your Mind Grey - Size S,TK002P3-TT01-W_GG_S,TK002P3-TT01-W,Débardeur de sport Free Your Mind,GG,Grey,S,0,37,37,16
Top,Débardeur de sport Free Your Mind Grey - Size M,TK002P3-TT01-W_GG_M,TK002P3-TT01-W,Débardeur de sport Free Your Mind,GG,Grey,M,0,53,53,16
